,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-06-01,4.13665736258998,4.42507332992962,6.60941475826972,6.728203920645201,12.9230369657075,4.222230155356,7.94881018732235,5.15038474836343,6.1463365031458,1.96245956535876,10.9878672734899,10.537053317474301,2.33240849785177,3.8270375914979,7.90226105477827,3.4419786161662804,3.47247501890141,11.4869838540687,5.37400118021649,12.8055345259556,3.07498410280134,0.0,7.39464895001295,4.57310117010458,5.55095354015483,8.76110544988674,6.05718160244095,4.125422723864229,8.05730113995094,0.7846565352169319,1.8053145109133102,5.927609468314031
2020-05-01,4.33127472380115,1.7426979948262402,3.0470302809401497,8.55806048045695,14.204443788041003,4.13329340545622,1.20767143578225,9.2403744613763,4.72060891159721,10.6003997059337,6.655392666891579,1.53124731613753,0.618161339832085,3.14023991011642,6.25601160968981,0.8403316399526131,3.2447574676904996,2.56719537859635,4.08754921084725,2.60962961719838,5.81075121985357,0.0,3.34453911853068,3.71968740560594,2.8474886758542697,5.0062203907230405,2.47418436853125,3.70757442389524,10.030442546416802,0.5156641405333421,0.6193669718259879,8.50976056799286
2020-04-01,1.47673446642519,1.46958051098492,2.1352702798094403,1.7595060917318401,3.14570173181965,4.37318468810095,6.6856782587274495,2.72960668849079,3.1969712968886803,6.12382193153433,8.21613891604015,1.92597734354465,1.88762220626402,4.3005362774945,4.77026061190841,19.4004432627729,2.4370424502076102,1.86498385014741,7.76407852329329,0.19792851698544497,9.593901774613391,4.37428217766521,0.0,4.17828290475724,1.5754721422035298,6.19308395005999,5.60223478714452,1.05625395720659,5.061256388737171,1.23906128155771,1.78553046864505,3.9986815991921296
2020-03-01,3.492279456667,2.286173156667,3.693259463333,3.232931126667,4.648576616667,3.027839283333,2.641862353333,3.485757663333,4.751826333333,4.041171603333,3.60317443,1.5664836,1.897701283333,3.01689819,4.985023616667,2.406193643333,1.932026393333,3.848848796667,3.8509325,1.688963276667,2.844290326667,3.489315756667,2.974554023333,2.045910683333,2.810142973333,4.434065723333,5.13185912,3.153597873333,4.022492646667,2.753203143333,1.994531643333,3.20914045
2020-02-01,3.617487983333,2.295086246667,3.38100673,3.19873983,4.494921506667,3.310627623333,2.517319143333,3.44163543,5.093009326667,3.86529497,3.655864593333,1.348306753333,2.12666326,3.194910203333,4.60229401,2.245412073333,1.9955684,3.894560126667,3.76255581,1.708854793333,2.52467771,4.085458973333,2.858367443333,1.98833899,2.885248563333,4.701045766667,5.64638574,3.36070817,3.881716626667,2.950991013333,1.851351316667,3.063799626667
2020-01-01,3.542378113333,2.44614011,3.38157533,3.254015196667,3.97280172,2.776218193333,2.537623736667,3.037501216667,5.155329766667,3.68194693,3.565073753333,1.398037603333,2.274604436667,3.276650736667,4.37021536,2.515029566667,2.02665757,3.591369023333,3.614398366667,2.248215183333,2.506190866667,4.046966343333,2.962655973333,1.953869416667,2.660603576667,4.420800276667,6.182002513333,3.077390633333,3.81178897,3.025600643333,1.857650686667,2.83418617
2019-12-01,3.249448243333,2.189803333333,3.701430793333,3.14370396,4.204892296667,2.997008446667,2.503667443333,2.480265673333,5.223529576667,3.311120193333,3.369178093333,1.521229043333,2.492971596667,3.140151463333,4.20558463,2.770573216667,2.476270693333,3.572781896667,3.554112846667,2.045576596667,2.532102223333,4.727028026667,3.076679216667,2.056620776667,2.714763556667,3.99615695,6.433150266667,3.056132,3.73754405,2.9140409,1.961871103333,2.50311151
2019-11-01,3.54249235,2.61776742,4.57327145,3.00871429,4.36778397,3.120901793333,3.01007106,2.793384813333,5.10457874,3.688926103333,3.50628694,1.677577346667,2.476058896667,3.444732016667,4.91821007,3.581502776667,2.833791856667,3.83000339,3.47366938,2.047943753333,2.908922026667,5.110285153333,3.45866067,2.56110719,3.02122396,4.34668143,6.979573633333,3.215161873333,3.76909532,3.027598793333,1.918596693333,2.629678946667
2019-10-01,3.491408433333,2.80347035,4.63169332,3.112403556667,5.197481086667,3.467984876667,3.265370766667,2.979043093333,5.153235906667,3.883367476667,3.58552388,1.551752096667,2.371404123333,3.348469413333,4.947007733333,3.4020176,3.05795974,4.06946539,3.191010933333,1.78748165,2.940157583333,5.758600636667,3.46340309,3.269676846667,3.345318366667,4.23388431,6.995866573333,3.736758156667,3.72577188,3.321175546667,1.99643711,3.001765293333
2019-09-01,3.780194626667,2.949129843333,4.830505606667,3.010800946667,4.98896933,3.766600036667,3.633014996667,3.009235436667,5.00996222,3.884861346667,3.776006986667,1.450133743333,2.028818536667,3.356556496667,4.702961376667,2.979839533333,2.814101363333,4.661795933333,3.51352205,2.062898123333,2.90268408,5.355343466667,3.433222893333,3.412442963333,3.597084443333,5.077983103333,6.966862423333,3.655870383333,3.755251316667,3.599767816667,2.025206153333,3.09927504
